"x"
"contig_7936"
"contig_5948"
"contig_23385"
"contig_16245"
"contig_18539"
"contig_18712"
"contig_15694"
"contig_25185"
"contig_20478"
"contig_20617"
"contig_19689"
"contig_19690"
"contig_18333"
"contig_26099"
"contig_25710"
"contig_14342"
"contig_9869"
"contig_21438"
"contig_22839"
"contig_18819"
"contig_5234"
"contig_16052"
"contig_5192"
"contig_16199"
"contig_4881"
"contig_10369"
"contig_10370"
"contig_18496"
"contig_8308"
"contig_12484"
"contig_17355"
"contig_6887"
"contig_13255"
"contig_11469"
"contig_10582"
"contig_19920"
"contig_25205"
"contig_16184"
"contig_16183"
"contig_98"
"contig_97"
"contig_19790"
"contig_11271"
"contig_19086"
"contig_12129"
"contig_21501"
"contig_26073"
"contig_21502"
"contig_12317"
"contig_8082"
"contig_7102"
"contig_14075"
"contig_16817"
"contig_13889"
"contig_26165"
"contig_7217"
"contig_9361"
"contig_10767"
"contig_9201"
"contig_25427"
"contig_8671"
"contig_15693"
"contig_10581"
"contig_24374"
"contig_10585"
"contig_12296"
"contig_4961"
"contig_10327"
"contig_2711"
"contig_5236"
"contig_5233"
"contig_9010"
"contig_9059"
"contig_243"
"contig_4958"
"contig_7056"
"contig_11426"
"contig_19001"
"contig_4194"
"contig_9643"
"contig_10729"
"contig_9057"
"contig_11468"
"contig_15071"
"contig_17267"
"contig_19397"
"contig_21883"
"contig_23736"
"contig_12565"
"contig_15741"
"contig_18396"
"contig_26186"
"contig_17379"
"contig_19085"
"contig_10736"
"contig_23306"
"contig_11522"
"contig_11759"
"contig_7937"
"contig_8367"
"contig_25544"
"contig_13716"
"contig_11273"
"contig_11270"
"contig_19530"
"contig_11624"
"contig_9856"
"contig_9199"
"contig_19216"
"contig_26177"
"contig_17052"
"contig_23140"
"contig_10733"
"contig_4883"
"contig_14123"
"contig_26082"
"contig_9945"
"contig_9045"
"contig_24375"
"contig_3129"
"contig_3019"
"contig_3554"
"contig_4141"
