"x"
"contig_10239"
"contig_10959"
"contig_11815"
"contig_13350"
"contig_1389"
"contig_1425"
"contig_14311"
"contig_1436"
"contig_14477"
"contig_1602"
"contig_17810"
"contig_17811"
"contig_18270"
"contig_18550"
"contig_25140"
"contig_25923"
"contig_25953"
"contig_25954"
"contig_5444"
"contig_6277"
"contig_6869"
"contig_8950"
"contig_9341"
