Fastq,Number of reads,Total length,shortest,Longest,N50,N75,AuN,Raw number of reads,% reads filtered
prinseq/773911_20180130_S_good_out_R1.fastq,"1,303,485","389,884,624",216,300,300,300,299,"1,323,156",98.51
prinseq/773911_20180130_S_good_out_R2.fastq,"1,303,485","387,801,633",214,300,300,300,297,"1,323,156",98.51
prinseq/777599_20180306_S_good_out_R1.fastq,"844,316","252,681,642",229,300,300,300,299,"857,328",98.48
prinseq/777599_20180306_S_good_out_R2.fastq,"844,316","250,010,062",216,300,300,300,296,"857,328",98.48
prinseq/777851_20170918_S_good_out_R1.fastq,"811,804","243,040,957",240,300,300,300,299,"818,398",99.19
prinseq/777851_20170918_S_good_out_R2.fastq,"811,804","242,160,800",218,300,300,300,298,"818,398",99.19
prinseq/778851_20171204_S_good_out_R1.fastq,"1,272,171","380,690,696",135,300,300,300,299,"1,279,212",99.45
prinseq/778851_20171204_S_good_out_R2.fastq,"1,272,171","379,053,356",220,300,300,300,298,"1,279,212",99.45
prinseq/778851_20180212_S_good_out_R1.fastq,"764,355","228,857,087",238,300,300,300,299,"770,520",99.20
prinseq/778851_20180212_S_good_out_R2.fastq,"764,355","227,404,251",215,300,300,300,297,"770,520",99.20
prinseq/785991_20171129_S_good_out_R1.fastq,"532,026","159,368,893",233,300,300,300,299,"535,009",99.44
prinseq/785991_20171129_S_good_out_R2.fastq,"532,026","158,458,015",222,300,300,300,297,"535,009",99.44
prinseq/785991_20171206_S_good_out_R1.fastq,"530,964","159,089,615",224,300,300,300,299,"533,079",99.60
prinseq/785991_20171206_S_good_out_R2.fastq,"530,964","157,998,070",216,300,300,300,297,"533,079",99.60
prinseq/785991_20171213_S_good_out_R1.fastq,"1,126,396","337,286,418",100,300,300,300,299,"1,137,973",98.98
